Iter#        Jbest_Avg       Jtest_Avg 
   243          0.26693           0.19839       
   244          0.26693           0.19976       
   245          0.26693           0.20413       
   246          0.26705           0.19545       
   247          0.26705           0.19902       
   248          0.26778           0.20572       
   249          0.26895           0.20696       
   250          0.26895           0.21180       
   251          0.27057           0.20674       
   252          0.27057           0.20865       
   253          0.27378           0.20747       
   254          0.27401           0.22417       
   255          0.27401           0.19375       
   256          0.27401           0.19715       
   257          0.27401           0.21017       
   258          0.27401           0.19671       
   259          0.27401           0.20659       
   260          0.27401           0.21098       
   261          0.27510           0.20409       
   262          0.27517           0.20643       
   263          0.27641           0.21047       
   264          0.27641           0.20179       
   265          0.27641           0.21302       
   266          0.27732           0.20850       
   267          0.27885           0.21651       
   268          0.28016           0.21196       
   269          0.28018           0.20352       
   270          0.28463           0.23588       
   271          0.28463           0.23651       
   272          0.28463           0.20312       
   273          0.28463           0.22279       
   274          0.28523           0.23678       
   275          0.28542           0.22528       
   276          0.28598           0.22177       
   277          0.28598           0.20515       
   278          0.28598           0.22854       
   279          0.28598           0.21553       
   280          0.28598           0.21644       
   281          0.28598           0.21203       
   282          0.28598           0.21119       
   283          0.28598           0.22183       
   284          0.28903           0.23352       
   285          0.28965           0.21620       
   286          0.29167           0.22602       
   287          0.29167           0.22145       
   288          0.29167           0.20737       
   289          0.29167           0.22910       
   290          0.29198           0.21725       
   291          0.29198           0.20749       
   292          0.29300           0.23412       
   293          0.29300           0.19250       
   294          0.29376           0.20766       
   295          0.29543           0.22196       
   296          0.29543           0.21621       
   297          0.29572           0.20710       
   298          0.29572           0.20964       
   299          0.29629           0.22194       
   300          0.29842           0.22709       
   301          0.30058           0.22987       
   302          0.30058           0.23773       
   303          0.30061           0.21479       
   304          0.30094           0.24588       
   305          0.30144           0.24158       
   306          0.30144           0.22234       
   307          0.30144           0.23674       
   308          0.30144           0.20644       
   309          0.30233           0.23588       
   310          0.30233           0.22439       
   311          0.30314           0.22968       
   312          0.30314           0.24159       
   313          0.30314           0.22733       
   314          0.30314           0.21492       
   315          0.30314           0.22958       
   316          0.30314           0.22623       
   317          0.30314           0.21351       
   318          0.30314           0.23536       
   319          0.30371           0.21253       
   320          0.30371           0.23871       
   321          0.30371           0.22259       
   322          0.30766           0.23826       
   323          0.30766           0.24321       
   324          0.30789           0.22900       
   325          0.30790           0.24169       
   326          0.30790           0.23152       
   327          0.30795           0.24514       
   328          0.30795           0.23974       
   329          0.30964           0.25522       
   330          0.30964           0.24072       
   331          0.30964           0.26159       
   332          0.31025           0.25022       
   333          0.31025           0.24957       
   334          0.31139           0.23820       
   335          0.31139           0.23659       
   336          0.31139           0.24314       
   337          0.31139           0.24075       
   338          0.31139           0.20570       
   339          0.31164           0.24558       
   340          0.31164           0.21714       
   341          0.31166           0.22222       
   342          0.31189           0.23802       
   343          0.31189           0.24192       
   344          0.31270           0.23192       
   345          0.31270           0.23418       
   346          0.31270           0.24294       
   347          0.31270           0.22178       
   348          0.31270           0.24480       
   349          0.31289           0.23030       
   350          0.31289           0.24121       
   351          0.31294           0.25390       
   352          0.31334           0.24580       
   353          0.31334           0.22820       
   354          0.31364           0.25961       
   355          0.31364           0.23807       
   356          0.31364           0.25721       
   357          0.31364           0.23817       
   358          0.31364           0.25014       
   359          0.31379           0.24426       
   360          0.31422           0.24068       
   361          0.31660           0.25169       
   362          0.31660           0.22201       
   363          0.31660           0.24942       
   364          0.31660           0.25010       
   365          0.31672           0.25073       
   366          0.31672           0.21615       
   367          0.31672           0.24442       
   368          0.31672           0.22838       
   369          0.31672           0.24506       
   370          0.31672           0.21387       
   371          0.31782           0.23381       
   372          0.31782           0.23984       
   373          0.31803           0.24883       
   374          0.31894           0.23795       
   375          0.32012           0.25200       
   376          0.32042           0.24340       
   377          0.32045           0.24715       
   378          0.32045           0.22324       
   379          0.32045           0.26545       
   380          0.32056           0.23438       
   381          0.32058           0.23919       
   382          0.32058           0.24213       
   383          0.32058           0.24212       
   384          0.32058           0.22817       
   385          0.32121           0.22059       
   386          0.32340           0.24432       
   387          0.32340           0.24168       
   388          0.32386           0.23288       
   389          0.32386           0.25126       
   390          0.32386           0.25802       
   391          0.32386           0.24992       
   392          0.32463           0.23709       
   393          0.32463           0.24934       
   394          0.32695           0.23207       
   395          0.32695           0.24639       
   396          0.32695           0.23147       
   397          0.32794           0.26436       
   398          0.32794           0.25696       
   399          0.32794           0.24286       
   400          0.32821           0.25255       
   401          0.32821           0.27258       
   402          0.32821           0.25690       
   403          0.32821           0.24803       
   404          0.32850           0.26610       
   405          0.32881           0.25696       
   406          0.32914           0.25567       
   407          0.32914           0.23299       
   408          0.32959           0.25423       
   409          0.33027           0.24735       
   410          0.33027           0.25053       
   411          0.33027           0.27569       
   412          0.33027           0.26232       
   413          0.33027           0.26027       
   414          0.33027           0.23546       
   415          0.33056           0.25351       
   416          0.33149           0.26374       
   417          0.33233           0.23861       
   418          0.33271           0.26030       
   419          0.33271           0.26661       
   420          0.33271           0.25168       
   421          0.33299           0.27199       
   422          0.33299           0.24855       
   423          0.33299           0.25346       
   424          0.33299           0.23968       
   425          0.33331           0.26216       
   426          0.33344           0.25608       
   427          0.33538           0.26740       
   428          0.33540           0.24975       
   429          0.33674           0.27894       
   430          0.33723           0.26084       
   431          0.33723           0.26845       
   432          0.33723           0.24175       
   433          0.33723           0.27352       
   434          0.33723           0.24518       
   435          0.33723           0.25168       
   436          0.33746           0.27237       
   437          0.33746           0.26114       
   438          0.33778           0.25250       
   439          0.33778           0.26227       
   440          0.33778           0.24700       
   441          0.33828           0.24580       
   442          0.33828           0.24307       
   443          0.33828           0.25314       
   444          0.33828           0.27052       
   445          0.33828           0.25219       
   446          0.33898           0.28122       
   447          0.33898           0.26570       
   448          0.33957           0.26619       
   449          0.34095           0.25056       
   450          0.34155           0.26134       
   451          0.34155           0.26009       
   452          0.34155           0.27470       
   453          0.34155           0.26707       
   454          0.34189           0.24700       
   455          0.34200           0.26002       
   456          0.34200           0.25427       
   457          0.34200           0.26538       
   458          0.34200           0.25332       
   459          0.34200           0.27047       
   460          0.34461           0.24821       
   461          0.34461           0.27106       
   462          0.34635           0.27159       
   463          0.34635           0.26529       
   464          0.34635           0.25884       
   465          0.34635           0.27555       
   466          0.34635           0.26361       
   467          0.34638           0.27412       
   468          0.34638           0.22167       
   469          0.34638           0.24302       
   470          0.34821           0.24983       
   471          0.34821           0.27805       
   472          0.34821           0.27784       
   473          0.34821           0.27541       
   474          0.34838           0.26795       
   475          0.34838           0.25911       
   476          0.34862           0.26808       
   477          0.34882           0.26636       
   478          0.34882           0.27473       
   479          0.34882           0.27597       
   480          0.34882           0.26501       
   481          0.34924           0.27306       
   482          0.35080           0.26628       
   483          0.35082           0.26586       
   484          0.35082           0.27066       
   485          0.35082           0.25552       
   486          0.35203           0.25550       
   487          0.35203           0.25780       
   488          0.35240           0.26400       
   489          0.35364           0.27246       
   490          0.35364           0.27115       
   491          0.35364           0.27325       
   492          0.35364           0.24232       
   493          0.35383           0.25139       
   494          0.35383           0.26349       
   495          0.35383           0.27208       
   496          0.35437           0.22849       
   497          0.35437           0.26807       
   498          0.35542           0.27707       
   499          0.35620           0.28804       
   500          0.35688           0.25298       
   501          0.35688           0.22921       
   502          0.35725           0.26275       
   503          0.36210           0.29819       
   504          0.36313           0.28654       
   505          0.36373           0.27268       
   506          0.36611           0.27222       
   507          0.36679           0.29662       
   508          0.36679           0.25091       
   509          0.36679           0.29541       
   510          0.36679           0.27693       
   511          0.36679           0.27093       
   512          0.36679           0.28889       
   513          0.36679           0.27614       
   514          0.36679           0.28475       
   515          0.36679           0.26373       
   516          0.36687           0.25298       
   517          0.36687           0.27272       
   518          0.36687           0.29042       
   519          0.36926           0.28191       
   520          0.36995           0.27763       
   521          0.36995           0.25606       
   522          0.36995           0.28284       
   523          0.37053           0.29876       
   524          0.37307           0.28728       
   525          0.37307           0.27224       
   526          0.37307           0.30032       
   527          0.37323           0.28894       
   528          0.37323           0.27506       
   529          0.37466           0.27374       
   530          0.37466           0.27033       
   531          0.37466           0.30136       
   532          0.37536           0.24885       
   533          0.37731           0.30646       
   534          0.37893           0.31238       
   535          0.37893           0.29256       
   536          0.37893           0.30489       
   537          0.37893           0.29152       
   538          0.37893           0.26515       
   539          0.37893           0.27840       
   540          0.37893           0.30558       
   541          0.37893           0.29820       
   542          0.37893           0.29602       
   543          0.37893           0.26970       
   544          0.37918           0.29485       
   545          0.37985           0.29567       
   546          0.37985           0.24916       
   547          0.38031           0.31396       
   548          0.38121           0.29353       
   549          0.38121           0.29435       
   550          0.38213           0.27480       
   551          0.38249           0.26610       
   552          0.38249           0.30291       
   553          0.38318           0.31165       
   554          0.38387           0.30012       
   555          0.38441           0.27162       
   556          0.38441           0.29344       
   557          0.38441           0.29383       
   558          0.38925           0.28801       
   559          0.38925           0.31065       
   560          0.39047           0.30029       
   561          0.39047           0.28876       
   562          0.39047           0.28796       
   563          0.39047           0.32396       
   564          0.39047           0.29783       
   565          0.39047           0.30004       
   566          0.39047           0.27081       
   567          0.39294           0.32760       
   568          0.39294           0.28652       
   569          0.39343           0.31035       
   570          0.39488           0.31071       
   571          0.39488           0.27984       
   572          0.39538           0.30751       
   573          0.39538           0.26883       
   574          0.39538           0.31711       
   575          0.39538           0.26578       
   576          0.39581           0.31413       
   577          0.39581           0.30889       
   578          0.39581           0.31339       
   579          0.39763           0.32553       
   580          0.39800           0.30385       
   581          0.39800           0.27025       
   582          0.39846           0.28189       
   583          0.39888           0.31076       
   584          0.39889           0.28373       
   585          0.40030           0.32451       
   586          0.40030           0.31159       
   587          0.40072           0.31306       
   588          0.40072           0.27548       
   589          0.40156           0.27842       
   590          0.40252           0.32062       
   591          0.40347           0.32118       
   592          0.40705           0.29603       
   593          0.40784           0.32431       
   594          0.40845           0.30817       
   595          0.40845           0.29083       
   596          0.40883           0.31498       
   597          0.40938           0.29362       
   598          0.40938           0.28401       
   599          0.40938           0.30816       
   600          0.40952           0.23123       
   601          0.40952           0.29534       
   602          0.40952           0.29498       
   603          0.40952           0.29589       
   604          0.40952           0.25212       
   605          0.40952           0.30078       
   606          0.40986           0.29421       
   607          0.41016           0.29268       
   608          0.41034           0.32375       
   609          0.41058           0.31074       
   610          0.41058           0.32789       
   611          0.41058           0.29332       
   612          0.41058           0.28345       
   613          0.41108           0.28427       
   614          0.41108           0.29358       
   615          0.41108           0.28101       
   616          0.41108           0.32245       
   617          0.41237           0.31503       
   618          0.41237           0.26708       
   619          0.41237           0.29485       
   620          0.41269           0.31178       
   621          0.41269           0.32323       
   622          0.41269           0.30860       
   623          0.41269           0.28498       
   624          0.41269           0.24193       
   625          0.41269           0.27383       
   626          0.41321           0.26510       
   627          0.41321           0.31793       
   628          0.41321           0.29774       
   629          0.41558           0.32746       
   630          0.41601           0.30732       
   631          0.41601           0.28418       
   632          0.41690           0.31174       
   633          0.41740           0.34118       
   634          0.41740           0.25082       
   635          0.41773           0.31558       
   636          0.41773           0.31785       
   637          0.41773           0.32007       
   638          0.41812           0.28794       
   639          0.41812           0.26943       
   640          0.41819           0.30195       
   641          0.41819           0.31306       
   642          0.41819           0.31302       
   643          0.41945           0.28220       
   644          0.41945           0.30321       
   645          0.41945           0.29512       
   646          0.41945           0.32866       
   647          0.41945           0.30683       
   648          0.41945           0.33197       
   649          0.41945           0.29559       
   650          0.41945           0.28282       
   651          0.41998           0.27059       
   652          0.42015           0.29481       
   653          0.42397           0.32389       
   654          0.42513           0.29392       
   655          0.42537           0.29602       
   656          0.42537           0.32073       
   657          0.42672           0.33787       
   658          0.42672           0.30218       
   659          0.42672           0.31639       
   660          0.42672           0.30270       
   661          0.42672           0.30850       
   662          0.42672           0.28961       
   663          0.42760           0.34357       
   664          0.42760           0.30166       
   665          0.42760           0.28507       
   666          0.42760           0.32726       
   667          0.42760           0.31022       
   668          0.42760           0.30687       
   669          0.42788           0.32348       
   670          0.42788           0.32154       
   671          0.42815           0.33696       
   672          0.42815           0.32282       
   673          0.42815           0.32414       
   674          0.42815           0.30106       
   675          0.42954           0.31273       
   676          0.42954           0.30450       
   677          0.42954           0.31844       
   678          0.43028           0.31255       
   679          0.43028           0.33542       
   680          0.43028           0.27093       
   681          0.43128           0.32121       
   682          0.43128           0.33706       
   683          0.43128           0.34486       
   684          0.43128           0.32378       
   685          0.43128           0.30407       
   686          0.43128           0.32874       
   687          0.43128           0.30955       
   688          0.43128           0.31008       
   689          0.43128           0.32268       
   690          0.43171           0.34202       
   691          0.43171           0.29166       
   692          0.43195           0.32252       
   693          0.43251           0.31556       
   694          0.43353           0.31955       
   695          0.43353           0.34521       
   696          0.43410           0.31630       
   697          0.43410           0.28080       
   698          0.43411           0.30500       
   699          0.43411           0.35039       
   700          0.43411           0.32968       
   701          0.43411           0.30160       
   702          0.43411           0.28454       
   703          0.43411           0.31597       
   704          0.43411           0.30879       
   705          0.43470           0.30213       
   706          0.43470           0.32366       
   707          0.43470           0.29349       
   708          0.43557           0.29389       
   709          0.43557           0.32053       
   710          0.43697           0.28067       
   711          0.43697           0.33251       
   712          0.43816           0.27621       
   713          0.43816           0.28437       
   714          0.43816           0.33410       
   715          0.43816           0.32729       
   716          0.43816           0.33079       
   717          0.43816           0.30712       
   718          0.43842           0.31455       
   719          0.43842           0.35141       
   720          0.43878           0.31759       
   721          0.43878           0.31926       
   722          0.43878           0.33456       
   723          0.43878           0.32681       
   724          0.43878           0.30540       
   725          0.43937           0.30813       
   726          0.43937           0.31183       
   727          0.43995           0.32549       
   728          0.43995           0.33913       
   729          0.44043           0.32132       
   730          0.44076           0.27297       
   731          0.44076           0.29283       
   732          0.44090           0.35695       
   733          0.44206           0.35232       
   734          0.44206           0.30186       
   735          0.44206           0.32667       
   736          0.44206           0.32692       
   737          0.44266           0.32457       
   738          0.44266           0.33711       
   739          0.44266           0.31843       
   740          0.44266           0.34531       
   741          0.44266           0.31394       
   742          0.44266           0.30392       
   743          0.44266           0.30480       
   744          0.44266           0.32444       
   745          0.44266           0.33287       
   746          0.44266           0.31562       
   747          0.44416           0.29908       
   748          0.44416           0.31665       
   749          0.44416           0.31475       
   750          0.44598           0.31184       
   751          0.44598           0.35726       
   752          0.44598           0.33221       
   753          0.44598           0.28215       
   754          0.44598           0.30366       
   755          0.44598           0.31757       
   756          0.44598           0.27694       
   757          0.44598           0.29658       
   758          0.44598           0.32258       
   759          0.44613           0.34342       
   760          0.44613           0.30670       
   761          0.44617           0.32165       
   762          0.44617           0.30805       
   763          0.44617           0.28632       
   764          0.44617           0.31678       
   765          0.44617           0.32632       
   766          0.44709           0.27730       
   767          0.44709           0.33143       
   768          0.44709           0.28912       
   769          0.44772           0.34903       
   770          0.44772           0.31951       
   771          0.44807           0.32526       
   772          0.44989           0.31101       
   773          0.44989           0.32703       
   774          0.44989           0.29163       
   775          0.44989           0.27787       
   776          0.44989           0.33223       
   777          0.45097           0.26948       
   778          0.45108           0.32764       
   779          0.45108           0.34540       
   780          0.45108           0.34666       
   781          0.45108           0.29508       
   782          0.45108           0.30438       
   783          0.45108           0.32346       
   784          0.45108           0.24587       
   785          0.45108           0.34071       
   786          0.45165           0.29870       
   787          0.45181           0.32999       
   788          0.45363           0.31691       
   789          0.45449           0.33836       
   790          0.45907           0.32299       
   791          0.46029           0.32054       
   792          0.46029           0.38607       
   793          0.46311           0.34402       
   794          0.46311           0.36557       
   795          0.46311           0.35067       
   796          0.46311           0.34489       
   797          0.46311           0.36065       
   798          0.46311           0.31904       
   799          0.46312           0.28364       
   800          0.46312           0.33957       
   801          0.46312           0.32318       
   802          0.46401           0.33802       
   803          0.46401           0.34681       
   804          0.46401           0.28849       
   805          0.46401           0.31101       
   806          0.46406           0.33541       
   807          0.46406           0.33537       
   808          0.46406           0.34694       
   809          0.46493           0.37057       
   810          0.46493           0.32790       
   811          0.46493           0.34684       
   812          0.46581           0.33774       
   813          0.46581           0.32770       
   814          0.46581           0.32929       
   815          0.46651           0.35413       
   816          0.46675           0.35863       
   817          0.46687           0.35315       
   818          0.46735           0.34664       
   819          0.46735           0.34090       
   820          0.46735           0.34300       
   821          0.46735           0.34511       
   822          0.46735           0.33037       
   823          0.46735           0.35272       
   824          0.46735           0.33663       
   825          0.46735           0.35060       
   826          0.46735           0.32551       
   827          0.46735           0.32926       
   828          0.46735           0.32253       
   829          0.46735           0.35896       
   830          0.46735           0.31795       
   831          0.46735           0.35997       
   832          0.46968           0.39127       
   833          0.46968           0.30925       
   834          0.46968           0.33624       
   835          0.47069           0.33590       
   836          0.47092           0.34722       
   837          0.47118           0.30854       
   838          0.47276           0.32727       
   839          0.47303           0.34023       
   840          0.47323           0.36849       
   841          0.47334           0.30795       
   842          0.47334           0.31751       
   843          0.47346           0.35421       
   844          0.47346           0.34059       
   845          0.47346           0.33397       
   846          0.47346           0.33748       
   847          0.47346           0.35081       
   848          0.47346           0.29395       
   849          0.47437           0.37988       
   850          0.47437           0.38510       
   851          0.47437           0.35891       
   852          0.47437           0.35474       
   853          0.47437           0.29521       
   854          0.47437           0.35030       
   855          0.47437           0.36792       
   856          0.47492           0.32342       
   857          0.47492           0.34548       
   858          0.47492           0.31389       
   859          0.47492           0.36449       
   860          0.47492           0.34691       
   861          0.47492           0.35958       
   862          0.47492           0.32277       
   863          0.47492           0.34704       
   864          0.47492           0.35507       
   865          0.47492           0.31686       
   866          0.47644           0.29431       
   867          0.47816           0.34936       
   868          0.48031           0.32293       
   869          0.48031           0.34035       
   870          0.48044           0.37766       
   871          0.48044           0.29287       
   872          0.48044           0.33179       
   873          0.48044           0.32750       
   874          0.48044           0.33625       
   875          0.48044           0.34794       
   876          0.48092           0.29859       
   877          0.48095           0.31852       
   878          0.48095           0.32379       
   879          0.48095           0.39994       
   880          0.48095           0.36664       
   881          0.48136           0.29870       
   882          0.48136           0.32651       
   883          0.48136           0.35805       
   884          0.48136           0.35874       
   885          0.48136           0.36639       
   886          0.48136           0.34883       
   887          0.48136           0.33774       
   888          0.48136           0.34008       
   889          0.48136           0.36250       
   890          0.48193           0.37839       
   891          0.48193           0.32567       
   892          0.48193           0.31229       
   893          0.48193           0.31789       
   894          0.48193           0.34432       
   895          0.48193           0.34078       
   896          0.48193           0.29104       
   897          0.48193           0.30377       
   898          0.48193           0.30485       
   899          0.48193           0.31291       
   900          0.48193           0.35284       
   901          0.48378           0.31175       
   902          0.48378           0.36668       
   903          0.48378           0.36249       
   904          0.48381           0.36421       
   905          0.48416           0.33723       
   906          0.48416           0.29569       
   907          0.48416           0.38835       
   908          0.48416           0.32827       
   909          0.48416           0.31344       
   910          0.48479           0.33636       
   911          0.48533           0.34570       
   912          0.48533           0.37239       
   913          0.48533           0.32047       
   914          0.48533           0.29389       
   915          0.48533           0.30301       
   916          0.48533           0.29252       
   917          0.48606           0.32806       
   918          0.48606           0.35665       
