Iter#        Jbest_Avg       Jtest_Avg 
     1          0.10024           0.10024       
     2          0.11449           0.10515       
     3          0.12009           0.10069       
     4          0.12100           0.09033       
     5          0.12639           0.10059       
     6          0.12836           0.09044       
     7          0.13175           0.09486       
     8          0.13175           0.09603       
     9          0.13389           0.09779       
    10          0.13581           0.10048       
    11          0.13694           0.09271       
    12          0.13704           0.10578       
    13          0.13704           0.08605       
    14          0.13718           0.10031       
    15          0.13718           0.09382       
    16          0.13788           0.09346       
    17          0.13788           0.09957       
    18          0.13833           0.10360       
    19          0.13833           0.09283       
    20          0.13833           0.08902       
    21          0.13910           0.10271       
    22          0.13910           0.09520       
    23          0.13910           0.09640       
    24          0.14096           0.09982       
    25          0.14110           0.09803       
    26          0.14110           0.10002       
    27          0.14133           0.09468       
    28          0.14324           0.10251       
    29          0.14468           0.10426       
    30          0.14911           0.10900       
    31          0.14993           0.10134       
    32          0.15343           0.10787       
    33          0.15399           0.10057       
    34          0.15399           0.09064       
    35          0.15458           0.10436       
    36          0.15458           0.09377       
    37          0.15503           0.09440       
    38          0.15503           0.09183       
    39          0.15503           0.08877       
    40          0.15503           0.09224       
    41          0.15503           0.09422       
    42          0.15515           0.09404       
    43          0.15515           0.09429       
    44          0.15515           0.10049       
    45          0.15515           0.09946       
    46          0.15515           0.10506       
    47          0.15515           0.09777       
    48          0.15515           0.09070       
    49          0.15574           0.10518       
    50          0.15610           0.09996       
    51          0.15614           0.09841       
    52          0.15614           0.11221       
    53          0.15617           0.11898       
    54          0.15617           0.11299       
    55          0.15617           0.11789       
    56          0.15617           0.11245       
    57          0.15617           0.11132       
    58          0.15668           0.11800       
    59          0.15702           0.11248       
    60          0.15702           0.11817       
    61          0.15762           0.11511       
    62          0.15762           0.10948       
    63          0.15839           0.11904       
    64          0.15839           0.11836       
    65          0.15967           0.12758       
    66          0.15967           0.11871       
    67          0.16101           0.12848       
    68          0.16101           0.12258       
    69          0.16398           0.12908       
    70          0.16425           0.12965       
    71          0.16538           0.11747       
    72          0.16788           0.13333       
    73          0.16788           0.12674       
    74          0.16814           0.12586       
    75          0.17160           0.13257       
    76          0.17476           0.12969       
    77          0.17694           0.12612       
    78          0.17743           0.12763       
    79          0.17848           0.13548       
    80          0.17848           0.13330       
    81          0.17848           0.13249       
    82          0.17848           0.13191       
    83          0.17875           0.13999       
    84          0.17895           0.13354       
    85          0.17917           0.13828       
    86          0.17917           0.13065       
    87          0.17929           0.13684       
    88          0.18035           0.14417       
    89          0.18035           0.13687       
    90          0.18035           0.12499       
    91          0.18035           0.13906       
    92          0.18197           0.13917       
    93          0.18259           0.14727       
    94          0.18259           0.13342       
    95          0.18635           0.13803       
    96          0.18635           0.13933       
    97          0.18635           0.14735       
    98          0.18908           0.15398       
    99          0.18918           0.13989       
   100          0.19161           0.14922       
   101          0.19203           0.14662       
   102          0.19203           0.13581       
   103          0.19203           0.14459       
   104          0.19217           0.14616       
   105          0.19217           0.14698       
   106          0.19217           0.14908       
   107          0.19217           0.15380       
   108          0.19217           0.15127       
   109          0.19217           0.14191       
   110          0.19269           0.15235       
   111          0.19310           0.15484       
   112          0.19365           0.14704       
   113          0.19373           0.14020       
   114          0.19388           0.15120       
   115          0.19408           0.15472       
   116          0.19519           0.14565       
   117          0.19538           0.14744       
   118          0.19607           0.15305       
   119          0.19621           0.15227       
   120          0.19638           0.14985       
   121          0.19658           0.15350       
   122          0.19658           0.14177       
   123          0.19658           0.15870       
   124          0.19658           0.15681       
   125          0.19673           0.15581       
   126          0.19730           0.15932       
   127          0.19730           0.15060       
   128          0.19730           0.14891       
   129          0.19784           0.15750       
   130          0.19784           0.14813       
   131          0.20024           0.16162       
   132          0.20024           0.15631       
   133          0.20024           0.14782       
   134          0.20024           0.15606       
   135          0.20038           0.15796       
   136          0.20102           0.16247       
   137          0.20102           0.15242       
   138          0.20342           0.16507       
   139          0.20603           0.16827       
   140          0.20603           0.16095       
   141          0.20634           0.15679       
   142          0.20634           0.16248       
   143          0.20723           0.15696       
   144          0.20973           0.16624       
   145          0.20991           0.16578       
   146          0.21098           0.15741       
   147          0.21320           0.16300       
   148          0.21350           0.16868       
   149          0.21353           0.16071       
   150          0.21361           0.17059       
   151          0.21361           0.16595       
   152          0.21410           0.15848       
   153          0.21410           0.15693       
   154          0.21410           0.15822       
   155          0.21410           0.16009       
   156          0.21710           0.17161       
   157          0.21838           0.16577       
   158          0.21916           0.17779       
   159          0.21916           0.16195       
   160          0.21968           0.15784       
   161          0.21983           0.17053       
   162          0.21983           0.16557       
   163          0.21983           0.16743       
   164          0.21983           0.16655       
   165          0.21986           0.17488       
   166          0.21986           0.16664       
   167          0.21986           0.16725       
   168          0.21986           0.16525       
   169          0.22228           0.18375       
   170          0.22258           0.17422       
   171          0.22258           0.17708       
   172          0.22258           0.17529       
   173          0.22258           0.16440       
   174          0.22258           0.18147       
   175          0.22258           0.16984       
   176          0.22330           0.18306       
   177          0.22386           0.17321       
   178          0.22407           0.16775       
   179          0.22443           0.17316       
   180          0.22443           0.17373       
   181          0.22490           0.17767       
   182          0.22626           0.17901       
   183          0.22626           0.17251       
   184          0.22626           0.17263       
   185          0.22709           0.17115       
   186          0.22709           0.17747       
   187          0.22868           0.17573       
   188          0.22868           0.17282       
   189          0.22958           0.17276       
   190          0.23259           0.18276       
   191          0.23917           0.18450       
   192          0.24030           0.18064       
   193          0.24030           0.17885       
   194          0.24261           0.18199       
   195          0.24269           0.18672       
   196          0.24356           0.18950       
   197          0.24356           0.18774       
   198          0.24356           0.16365       
   199          0.24356           0.18988       
   200          0.24366           0.18409       
   201          0.24602           0.19387       
   202          0.24637           0.20194       
   203          0.24637           0.17578       
   204          0.24708           0.19489       
   205          0.24708           0.17887       
   206          0.24708           0.19340       
   207          0.24774           0.18408       
   208          0.24813           0.19580       
   209          0.24950           0.19060       
   210          0.24950           0.19740       
   211          0.25051           0.18560       
   212          0.25051           0.17203       
   213          0.25115           0.20571       
   214          0.25316           0.19499       
   215          0.25330           0.17841       
   216          0.25330           0.18105       
   217          0.25330           0.19496       
   218          0.25330           0.18652       
   219          0.25330           0.18876       
   220          0.25330           0.19123       
   221          0.25330           0.18209       
   222          0.25463           0.18130       
   223          0.25764           0.20040       
   224          0.25764           0.19445       
   225          0.25784           0.20033       
   226          0.25784           0.20015       
   227          0.25960           0.19556       
   228          0.25960           0.20025       
   229          0.25962           0.19328       
   230          0.25962           0.18923       
   231          0.25962           0.20625       
   232          0.25962           0.18630       
   233          0.25962           0.20913       
   234          0.25962           0.19650       
   235          0.25962           0.19536       
   236          0.25962           0.20486       
   237          0.26001           0.20824       
   238          0.26182           0.21286       
   239          0.26198           0.20393       
   240          0.26315           0.20690       
   241          0.26367           0.20915       
   242          0.26421           0.19304       
